Buergerite,False,(renamed to fluor-buergerite)
Bursaite,False,()
Bytownite,False,(variety of anorthite)
Cabalzarite,True,
Cabriite,True,
Cacoxenite,True,
Cadmium,True,
Cadmoindite,True,
Cadmoselite,True,
Cadwaladerite,True,
Cafarsite,True,
Cafetite,True,
Cahnite,True,
Calaverite,True,
Calciborite,True,
Calcite,True,
Calderite,True,
Caledonite,True,
Calumetite,True,
Campigliaite,True,
Canavesite,True,
Cancrinite,True,
Canfieldite,True,
Carletonite,True,
Carlosruizite,True,
Carlsbergite,True,
Carminite,True,
Carnallite,True,
Carnotite,True,
Carobbiite,True,
Carpathite,True,
Carpholite,True,
Carrollite,True,
Caryopilite,True,
Cassiterite,True,
Cattierite,True,
Cavansite,True,
Celadonite,True,
Celestine,True,
Celsian,True,
Cerite,True,
Cerium,True,
Cerussite,True,
Cervandonite-(Ce),True,
Cervantite,True,
Cesanite,True,
Cesbronite,True,
Chabazite (series of zeolites),True,
Chaidamuite,True,
Chalcanthite,True,
Chalcocite,True,
Chalcophyllite,True,
Chalcopyrite,True,
Challacolloite,True,
Chambersite,True,
Chamosite,True,
Changbaiite,True,
Chaoite,True,
Chapmanite,True,
Charlesite,True,
Charoite,True,
Chatkalite,True,
Chesterite,True,
Chibaite,True,
Childrenite,True,
Chlorargyrite,True,
Chlorite (mineral group),True,
Chloritoid,True,
Chlormayenite,True,
Chlorocalcite,True,
Chloroxiphite,True,
Chondrodite,True,
Chrisstanleyite,True,
Christite,True,
Chromite,True,
Chromium,True,
Chrysoberyl,True,
Chrysocolla,True,
Chrysotile,True,
Chvaleticeite,True,
Cinnabar,True,
Clarkeite,True,
Claudetite,True,
Clausthalite,True,
Clearcreekite,True,
Cleusonite,True,
Clinoclase,True,
Clinohedrite,True,
Clinohumite,True,
Clinoptilolite,True,
Clinozoisite,True,
Clintonite,True,
Cobaltite,True,
Coccinite,True,
Coconinoite,True,
Coesite,True,
Coffinite,True,
Cohenite,True,
Colemanite,True,
Colimaite,True,
Collinsite,True,
Coloradoite,True,
Columbite (mineral group),True,
Combeite,True,
Conichalcite,True,
Connellite,True,
Cooperite,True,
Copiapite,True,
Copper,True,
Corderoite,True,
Cordierite,True,
Corkite,True,
Cornubite,True,
Cornwallite,True,
Corundum,True,
Cotunnite,True,
Covellite,True,
Coyoteite,True,
Creedite,True,
Cristobalite,True,
Crocoite,True,
Cronstedtite,True,
Crookesite,True,
Crossite,True,
Cryolite,True,
Cryptomelane,True,
Cubanite,True,
Cummingtonite,True,
Cupalite,True,
Cuprite,True,
Cuprosklodowskite,True,
Cuprospinel,True,
Curite,True,
Cuspidine,True,
Cyanotrichite,True,
Cylindrite,True,
Cymrite,True,
Cyrilovite,True,
Campylite,False,(variety of mimetite)
Carnelian,False,(variety of quartz)
Cementite,False,(synthetic cohenite)
Ceylonite,False,(variety of spinel)
Chalcedony,False,(cryptocrystalline variety of quartz)
Chiastolite,False,(variety of andalusite)
Chlorastrolite (variety of pumpellyite-(Mg)),False,True,
Chrysoprase,False,(green nickel bearing chalcedony)
Chrysotile,False,(group name - asbestiform serpentine)
Citrine,False,(yellow variety of quartz)
Cleveite,False,(variety of uraninite)
Clinochrysotile,False,(polytype of chrysotile)
Coltan,False,(short for minerals of the columbite group)
Crocidolite,False,(asbestiform riebeckite)
Cymophane,False,(variety of chrysoberyl)
Danalite,True,
Danburite,True,
Datolite,True,
Daubréeite,True,
Daubréelite,True,
Davidite,True,
Dawsonite,True,
Delafossite,True,
Delvauxite,True,
Demesmaekerite,True,
Derriksite,True,
Descloizite,True,
Devilline,True,
Diaboleite,True,
Diadochite,True,
Diamond,True,
Diaspore,True,
Dickite,True,
Digenite,True,
Dimorphite,True,
Diopside,True,
Dioptase,True,
Djerfisherite,True,
Djurleite,True,
Dmitryivanovite,True,
Dollaseite-(Ce),True,
Dolomite,True,
Domeykite,True,
Donnayite-(Y),True,
Drysdallite,True,
Duftite,True,
Dumortierite,True,
Dundasite,True,
Dypingite,True,
Dyscrasite,True,
Dzhalindite,True,
Delessite,False,(magnesian chamosite)
Edenite,True,
Edingtonite,True,
Efremovite,True,
Ekanite,True,
Elbaite,True,
Emmonsite,True,
Empressite,True,
Enargite,True,
Enstatite,True,
Eosphorite,True,
Ephesite,True,
Epidote,True,
Epsomite,True,
Ericssonite,True,
Erionite (series of zeolites),True,
Erythrite,True,
Eskolaite,True,
Esperite,True,
Ettringite,True,
Euchroite,True,
Euclase,True,
Eucryptite,True,
Eudialyte,True,
