,45.6621004566,9.27,K3V         ,0.999
,355.871886121,6.61,B9          ,-0.019
,129.0322580645,8.06,F0V         ,0.37
,348.4320557491,8.55,G8III       ,0.902
,207.9002079002,8.59,G5          ,1.067
,92.936802974,8.59,F6V         ,0.489
,233.1002331002,7.34,A2          ,0.081
,246.3054187192,8.43,K4III       ,1.484
,286.5329512894,8.8,K0III       ,1.128
,195.6947162427,7.25,K0          ,1.2
,408.1632653061,8.6,K2          ,1.166
,162.6016260163,8.15,F3V         ,0.425
,242.7184466019,6.53,G5          ,0.955
,92.936802974,8.51,G0          ,0.516
,171.2328767123,7.55,K2          ,1.438
,223.7136465324,8.69,G8/K0III/IV ,0.962
,81.9000819001,7.57,F2V         ,0.456
 ,72.7802037846,6.28,G3IV        ,0.763
,177.304964539,8.83,F3/F5V      ,0.468
,263.8522427441,8.26,A0          ,0.142
,543.4782608696,7.63,K2          ,1.453
,111.8568232662,8.1,F2          ,0.466
 ,78.6782061369,6.43,F7.5IV-V    ,0.514
,158.7301587302,7.68,K0          ,1.15
,41.9463087248,8.65,G6V         ,0.778
,91.0746812386,7.46,F3V         ,0.475
,292.3976608187,8.7,A0          ,0.026
,156.7398119122,8.2,F2          ,0.387
 ,131.0615989515,6.18,G9III-IV    ,1.032
,414.9377593361,7.91,K2          ,1.104
,840.3361344538,8.57,K1III       ,1.035
,40.899795501,10.78,K3V         ,1.15
,537.6344086022,7.31,K0/K1III    ,1.164
,59.2066311427,6.49,G1IV        ,0.616
,2439.0243902439,8.94,K0          ,0.906
,253.164556962,8.56,A4V         ,0.196
,47.6871721507,10.57,M:          ,1.03
,68.2128240109,7.4,G2IV/V      ,0.551
,288.1844380403,8.12,K0          ,1.329
,29.5072292712,8.27,K2V         ,0.863
,38.3729854183,7.05,G0          ,0.52
,161.8122977346,8.34,F2IV        ,0.386
,178.5714285714,8.86,K5          ,1.081
,189.3939393939,8.27,G8III       ,0.994
 ,207.9002079002,6.36,B9p SiEu    ,-0.047
,289.8550724638,8.08,K2III       ,1.156
,122.2493887531,8.55,F2V         ,0.401
,133.6898395722,7.83,F5          ,0.495
,31.4465408805,8.79,K0          ,0.94
,157.4803149606,8.33,A0          ,0.135
